Join_ID,class,sum_class_code,sum_Area_SQUAREKILOMETERS,Polygon_Count
1,Industrial,0.005505155727711,0.005382830661366,1
1,Residential,0.999360983849428,2.641007043146481,4
2,Industrial,0.000395146571791,0.000903718579285,1
2,Residential,0.999210380499549,0.473313750382700,4
3,Residential,0.999689250390557,0.721386802966242,6
4,Residential,0.999996724615009,1.817596770759204,3
4,Residual Sub Area,0.000007316566096,0.000001520230299,1
5,Residential,1.013200402967928,2.046128983090630,7
6,Major Park,0.000000332774717,0.000001127632437,1
6,Residential,0.999366680733770,2.668286659425466,5
7,Industrial,0.000332190700693,0.000203709455125,1
7,Residential,1.000358820313079,2.658939599550382,5
8,Residential,1.003027041481924,1.418812372259012,8
9,Residual Sub Area,3.995102976881993,2.654535296202508,3
10,Industrial,0.000000200185516,0.000000146668115,1
10,Residential,0.997819941879269,1.502725873080543,5
11,Industrial,0.000027209324332,0.000019933136862,1
11,Residential,0.999878623741733,2.655190912505696,3
12,Industrial,0.000000392595776,0.000000897924549,1
12,Major Park,0.000000424553582,0.000001428326718,1
12,Residential,1.002045317994961,1.276892849485880,6
13,Residential,0.999656522718382,1.022404011186146,7
14,Residential,0.999694453577664,1.050505607944900,8
15,Residential,1.000680920588969,0.621563021029296,5
16,Industrial,0.000001110579920,0.000001259690395,2
16,Residential,1.005129644678735,2.717317502384122,3
17,Residential,0.995813105252408,1.695230172816573,5
17,Residual Sub Area,0.000013597360273,0.000006386372505,1
18,Residential,0.999246873309428,1.592064603475120,5
19,Residential,0.961280515650758,1.953145883025068,7
19,Residual Sub Area,0.003235414741787,0.003034420350482,1
20,Residential,0.993488122904664,2.256650094301122,5
21,Industrial,1.999991814106556,1.316857168463453,3
22,Residential,0.994889329466949,6.301454552029663,7
23,Major Park,0.000000398716181,0.000001546205117,1
23,Residential,1.000001381412637,6.620912135285430,5
24,Residential,1.003035423962879,2.566571900176688,8
25,Major Park,0.000000212285054,0.000000825212798,1
25,Residential,1.000000272556704,0.845767664029045,5
26,Residential,0.002273415726531,0.005319341570606,3
26,Residual Sub Area,3.977338200762338,3.274597523699022,2
27,Industrial,0.000813391670577,0.000533809189339,1
27,Residential,1.004249358228127,3.584957240941855,3
27,Residual Sub Area,0.000924915013377,0.001223354703951,1
28,Industrial,0.000368353257368,0.000700084372398,1
28,Residential,0.998437603843750,2.497300865990415,7
29,Industrial,2.007104406016001,3.810640294717880,4
29,Residential,0.001832669980112,0.004175203835378,3
29,Residual Sub Area,0.000007335413652,0.000000736012519,1
30,Industrial,1.999998616675173,2.262092198149249,3
30,Residential,0.000000366222582,0.000000973339422,1
31,Industrial,1.999597201843622,1.210135782961865,5
32,Residential,0.952249544028138,4.383833873608611,5
32,Residual Sub Area,0.076829373996022,0.031797449836736,1
33,Industrial,2.001611548415739,3.112255749468012,4
33,Residual Sub Area,0.000422743013944,0.000124820658928,2
34,Major Park,0.000001953946970,0.000009957707096,1
34,Residential,0.953484445825623,1.800686123313944,4
35,Major Park,2.998869740018795,10.157833968879679,1
35,Residential,0.005088090670432,0.003958131637288,11
35,Residual Sub Area,0.000362192966496,0.000339825463264,1
36,Residential,1.000359696544293,1.488383502699575,7
37,Major Park,0.000002427843160,0.000012389108557,1
37,Residential,0.987322804952047,5.375693699998639,4
38,Residential,0.377498759442277,2.886138429773245,3
38,Residual Sub Area,3.999994470928519,1.080983668958703,3
39,Residential,1.000306985866191,0.247608114640175,6
40,Major Park,0.004672844875749,0.001360186497705,1
40,Residential,0.463997812869870,0.569045529393534,3
41,Major Park,0.000002939657337,0.000014969608718,1
41,Residential,0.992670580367535,3.057016505570631,4
42,Major Park,0.000002766460883,0.000009369190244,1
42,Residential,0.986562011256199,0.756812991104951,5
43,Residential,1.001382363914721,1.275835561410446,6
44,Residential,0.005045791991833,0.015691479429677,3
44,Residual Sub Area,3.978261673467082,17.244745375957482,1
45,Industrial,0.000090405465910,0.000206697669217,1
45,Residential,0.998505527151680,0.655730922254324,7
46,Residential,1.001569136413809,2.069250507041246,9
47,Residential,0.993924269765620,3.267315145877781,5
47,Residual Sub Area,0.000006783509043,0.000003033874003,2
48,Major Park,0.000042807169554,0.000144962025586,1
48,Residential,0.999184308817809,0.336862537492555,4
49,Industrial,1.999136309965334,0.825978599833161,5
49,Residential,0.000045291174702,0.000182899403645,3
50,Residential,0.981447371491905,0.556515887987819,4
50,Residual Sub Area,0.000000001423346,0.000000002417017,1
51,Residential,0.999149344272386,0.267135725653333,5
52,Residential,0.995919415106105,1.363954960840854,6
53,Residential,0.657471524557998,4.786423492127066,2
53,Residual Sub Area,4.000003270214993,3.134327035662298,3
54,Industrial,0.000913991999731,0.001056045487999,2
54,Residential,1.001999247276312,3.905776674317808,8
55,Residential,0.998649348659651,2.661665096439546,6
56,Industrial,0.000990227481206,0.000663838208520,3
56,Residential,0.999318930761787,2.506039020484867,6
57,Residential,0.997612186008360,1.451945238461665,8
58,Major Park,0.000003618323412,0.000018438338082,1
58,Residential,0.978776149170924,2.891407696909145,5
59,Residential,0.999574370018264,0.364613781780606,7
60,Industrial,0.001272953367644,0.000725861621533,3
60,Residential,0.993793198107201,1.587979590379192,1
61,Residential,2.006468810660698,2.660216615540018,8
62,Residential,0.999852528297498,2.487682259406802,4
63,Residential,1.004832572933756,1.625524538387226,10
64,Residential,1.002211523290227,2.348000797011149,6
65,Industrial,0.000001923126258,0.000001818819948,1
65,Residential,1.000563453457877,1.140249948641429,4
66,Residential,1.000044508626843,2.641160879598240,4
67,Industrial,0.000002128982638,0.000018466861728,1
